GR;PODGR;RODZ;TYP;OPIS;NR_ODPADU
10;11.0;14.0;B;Szlamy z polerowania i szlifowania szkła inne niż wymienione w 10 11 13;999
10;11.0;15.0;N;Odpady stałe z oczyszczania gazów odlotowych zawierające substancje niebezpieczne;1 000
10;11.0;16.0;B;Odpay stałe z oczyszczania gazów odlotowych inne niż wymienione w 10 11 15;1 001
10;11.0;17.0;N;Szlamy i osady pofiltracyjne z oczyszczania gazów odlotowych zawierające substancje niebezpieczne;1 002
10;11.0;18.0;B;Szlamy i osady pofiltracyjne z oczyszczania gazów odlotowych inne niż wymienione w 10 11 17;1 003
10;11.0;19.0;N;Odpady stałe z zakładowych oczyszczalni ścieków zawierające substancje niebezpieczne;1 004
10;11.0;20.0;B;Odpady stałe z zakładowych oczyszczalni ścieków inne niż wymienione w 10 11 19;1 005
10;11.0;80.0;B;Szlamy flurokrzemianowe;1 006
10;11.0;81.0;N;Odpady zawierające azbest;1 007
10;11.0;99.0;B;Inne niewymienione odpady;1 008
10;12.0;1.0;B;Odpady z przygotowania mas wsadowych do obróbki termicznej;1 009
10;6.0;80.0;B;Żużle szybowe i granulowane;1 010
10;12.0;3.0;B;Cz±stki i pyły;1 011
10;12.0;5.0;B;Szlamy i osady pofiltracyjne z oczyszczania gazów odlotowych;1 012
10;13.0;14.0;B;Odpady betonowe i szlam betonowy;1 013
10;12.0;13.0;B;Szlamy z zakładowych oczyszczalni Ścieków;1 014
10;12.0;6.0;B;Zużyte formy;1 015
10;12.0;8.0;B;Wybrakowane wyroby ceramiczne,cegły,kafle i ceramika budowlana(po przeróbce termicznej);1 016
10;12.0;10.0;B;Odpady stałe z oczyszczania gazów odlotowych inne niż wymienione w 101209;1 017
10;12.0;12.0;B;Odpady ze szkliwienia inne niż wymienione w 101211;1 018
10;12.0;11.0;N;Odpady ze szkliwienia zawierające metale ciężkie;1 019
10;12.0;99.0;B;Inne niewymienione odpady;1 020
10;13.0;1.0;B;Odpady z przygotowania mas wsadowych do obróbki termicznej;1 021
10;13.0;4.0;B;Odpady z produkcji wapna palonego i hydratyzowanego;1 022
10;13.0;6.0;B;Cząstki i pyły(z wyłączeniem 101312 i 101313);1 023
10;13.0;7.0;B;Szlamy i osady pofiltracyjne z oczyszczania gazów odlotowych;1 024
10;13.0;9.0;N;Odpady zawieraj±ce azbest z produkcji elementów cementowo-azbestowych;1 025
10;13.0;10.0;B;Odpady z produkcji elementów cementowo-azbestowych inne niż wymienione w 101309;1 026
77;77.0;77.0;B;Olej Bazowy - produkt gotowy;1 027
11;3.0;2.0;N;Inne odpady;1 028
88;88.0;88.0;B;Produkt gotowy - Rozpuszczalnik;1 029
10;13.0;81.0;B;Odpady z produkcji gipsy;1 030
10;13.0;80.0;B;odpady z produkcji cementu;1 031
